Name	Description	Mapped units	Conversion factor	Conventional units
bdod	Bulk density of the fine earth fraction	cg/cm³	100	kg/dm³
cec	Cation Exchange Capacity of the soil	mmol(c)/kg	10	cmol(c)/kg
cfvo	Volumetric fraction of coarse fragments (> 2 mm)	cm3/dm3 (vol‰)	10	cm3/100cm3 (vol%)
clay	Proportion of clay particles (< 0.002 mm) in the fine earth fraction	g/kg	10	g/100g (%)
nitrogen	Total nitrogen (N)	cg/kg	100	g/kg
phh2o	Soil pH	pHx10	10	pH
sand	Proportion of sand particles (> 0.05 mm) in the fine earth fraction	g/kg	10	g/100g (%)
silt	Proportion of silt particles (≥ 0.002 mm and ≤ 0.05 mm) in the fine earth fraction	g/kg	10	g/100g (%)
soc	Soil organic carbon content in the fine earth fraction	dg/kg	10	g/kg
ocd	Organic carbon density	hg/m³	10	kg/m³
ocs	Organic carbon stocks	t/ha	10	kg/m²