lat,lon,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,total_p,SRG_Acrisols,SRG_Alisols,SRG_Andosols,SRG_Arenosols,SRG_Cambisols,SRG_Ferralsols,SRG_Fluvisols,SRG_Gleysols,SRG_Lixisols,SRG_Luvisols,SRG_Nitisols,SRG_Plinthosols,SRG_Podzol,SRG_Regosols,SRG_Umbrisols
-16.4021,-61.2264,0.75,0.14,0.1,0.8433468,444.0,24.6,1150.0,5.9,1.08,0.12,223.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.1852,-61.32,0.49,0.2,0.31,1.025169,323.0,24.1,1270.0,6.3,1.85,0.17,506.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.93,-67.038,0.89,0.06,0.05,0.1942898,98.6,26.2,3425.0,5.03,2.049,0.11,24.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.933,-67.022,0.88,0.03,0.08,0.2021736,109.0,26.2,3425.0,4.79,1.84,0.106,101.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.598,-55.937,0.79,0.1,0.11,0.9472445,273.7,25.6,2353.1,4.65,1.188,0.118,118.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.253,-72.903,0.32,0.22,0.46,0.6644737,113.4,26.3,2814.8,4.42,1.784,0.168,259.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.743,-51.461,0.24,0.3,0.46,0.1914851,38.5,26.8,2178.1,3.96,1.168,0.073,114.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.102,-61.403,0.64,0.16,0.2,6.632593,327.5,26.3,2820.7,4.76,2.624,0.164,172.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.737,-51.463,0.64,0.11,0.25,0.1914851,39.6,26.8,2178.1,4.0,1.285,0.076,115.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.083,-52.667,0.12,0.2,0.68,1.470712,140.5,24.9,3329.2,4.76,2.557,0.226,359.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16.391,-61.212,0.75,0.14,0.1,0.4031512,446.5,23.3,1142.6,5.88,1.075,0.115,223.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.878,-73.63,0.44,0.34,0.22,0.4365088,122.4,26.8,2630.0,3.98,2.176,0.177,143.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.249,-61.245,0.49,0.2,0.31,0.7521211,268.3,24.1,1270.3,6.3,1.848,0.174,506.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.077,-77.61,0.4,0.27,0.33,1.154447,430.6,23.8,3710.7,4.49,2.087,0.208,151.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.844,-69.288,0.18,0.53,0.29,0.1101912,216.3,25.3,2536.5,4.41,0.82,0.114,339.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.073,-77.612,0.42,0.28,0.31,1.154447,430.8,23.8,3710.7,4.37,2.403,0.222,162.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.839,-69.296,0.02,0.52,0.46,0.1278661,215.8,25.3,2536.5,5.06,1.199,0.17,524.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.44,-72.846,0.32,0.4,0.27,0.5133286,96.6,26.2,2805.5,5.2,1.568,0.176,354.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.948,-73.436,0.78,0.13,0.1,0.2505066,125.6,26.3,2777.8,4.47,1.711,0.135,140.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.07,-77.616,0.41,0.3,0.29,1.418029,431.6,23.8,3710.7,4.77,2.153,0.219,159.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.985,-69.906,0.58,0.22,0.2,0.3314782,120.3,25.8,2777.6,4.13,1.511,0.096,31.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.835,-69.286,0.2,0.4,0.4,0.05904534,215.9,25.4,2457.6,4.32,0.977,0.146,414.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.638,-76.144,0.43,0.23,0.34,0.4564328,237.0,25.3,3008.9,4.61,1.74,0.189,407.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6,-77.63,0.3,0.48,0.22,6.32673,1200.0,18.0,3032.7,4.71,11.988,0.902,968.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-12.7513,-51.6981,0.93,0.03,0.04,0.7303112,295.0,25.8,1600.0,4.8,0.35,0.02,36.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-12.7513,-51.6981,0.91,0.03,0.06,0.7303112,295.0,25.8,1600.0,4.9,0.44,0.03,30.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-12.7513,-51.6981,0.91,0.04,0.05,0.7303112,295.0,25.8,1600.0,4.6,0.39,0.02,43.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-14.7619,-52.2642,0.46,0.05,0.49,0.1867172,294.0,25.1,1650.0,4.1,2.55,0.16,142.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-2.381,-54.9057,0.91,0.04,0.05,0.02451725,4.0,26.0,1970.0,4.8,1.02,0.05,117.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-2.381,-54.9057,0.97,0.01,0.02,0.02451725,4.0,25.9,2020.0,5.1,0.42,0.02,42.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-3.953,-73.437,0.94,0.04,0.03,0.1876804,127.0,26.3,2751.5,4.14,0.912,0.064,36.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-3.954,-73.426,0.82,0.16,0.02,0.1040178,125.9,26.3,2751.5,4.07,1.126,0.084,37.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-18.4127,-60.8019,0.48,0.35,0.18,0.05904534,291.0,24.8,820.0,6.1,1.08,0.12,535.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-18.4127,-60.8019,0.78,0.18,0.04,0.05904534,291.0,24.7,890.0,6.4,0.62,0.05,109.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-3.434,-72.844,0.1,0.2,0.28,0.4166417,97.3,26.2,2805.5,5.15,1.303,0.156,468.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-12.826,-69.261,0.47,0.24,0.29,0.1471032,218.9,25.4,2457.6,4.22,1.418,0.137,180.59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-3.995,-69.9,0.49,0.24,0.27,0.3710081,119.5,25.8,2799.8,4.0,4.156,0.213,101.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-12.83,-69.271,0.4,0.17,0.44,0.1320292,217.9,25.4,2457.6,3.91,1.511,0.161,226.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.702,-76.479,0.36,0.35,0.29,0.8744799,265.9,24.9,3172.3,4.63,1.601,0.201,413.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-11.9,-71.4,0.23,0.41,0.36,0.7786595,357.7,25.2,2457.0,4.53,0.679,0.085,239.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-9.039,-72.267,0.39,0.35,0.25,0.5452375,278.0,25.7,1803.7,5.56,1.354,0.137,240.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.7,-76.471,0.47,0.23,0.3,1.07131,261.2,24.9,3172.3,4.95,1.423,0.177,410.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-14.538,-61.498,0.84,0.09,0.07,0.6514115,248.0,24.2,1383.6,6.17,6.343,0.507,601.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-8.884,-72.79,0.25,0.38,0.37,0.5727618,235.6,25.8,1652.5,5.92,2.283,0.21,331.94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-12.5,-68.963,0.05,0.52,0.42,0.0992872,203.0,25.5,2079.3,6.07,1.835,0.242,715.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-14.527,-60.736,0.22,0.39,0.4,3.965662,632.1,21.4,1512.8,5.74,7.061,0.665,528.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-14.538,-61.5,0.63,0.19,0.18,0.6514115,248.1,24.2,1383.6,5.67,3.082,0.287,694.51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-13.049,-71.537,0.38,0.45,0.18,6.284042,1500.0,18.6,1673.0,3.75,13.613,0.881,1966.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-18.524,-60.812,0.48,0.35,0.18,0.5382481,310.0,24.8,813.4,6.06,1.076,0.122,537.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-13.047,-71.542,0.31,0.42,0.27,8.663179,1750.0,18.6,1673.0,3.65,22.661,1.195,1312.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-16.4021,-61.2264,0.71,0.1,0.19,0.8433468,444.0,24.6,1150.0,5.1,0.55,0.05,100.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-16.4021,-61.2264,0.65,0.18,0.17,0.8433468,444.0,24.6,1150.0,5.2,1.58,0.12,130.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.6561,-60.8962,0.5,0.19,0.32,0.1040178,186.0,24.1,1440.0,4.9,1.37,0.1,184.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.6561,-60.8962,0.74,0.06,0.2,0.1040178,186.0,23.9,1460.0,4.6,1.09,0.08,107.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.6032,-52.3113,0.85,0.03,0.11,0.7159336,291.0,25.0,1500.0,4.6,0.61,0.04,127.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.6032,-52.3113,0.75,0.07,0.18,0.7159336,291.0,25.0,1500.0,4.5,1.28,0.08,121.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.7619,-52.0755,0.47,0.08,0.45,0.1010871,280.0,25.3,1510.0,4.2,1.59,0.11,316.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.7619,-52.0755,0.66,0.1,0.24,0.1010871,280.0,25.2,1510.0,4.7,1.06,0.11,158.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-12.7513,-51.8396,0.78,0.06,0.16,0.9678892,368.0,25.5,1610.0,4.2,0.9,0.06,117.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-3.2275,-54.9528,0.23,0.1,0.66,0.8010281,153.0,25.9,1880.0,3.8,1.64,0.12,79.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2.7513,-54.9528,0.02,0.08,0.89,0.6183747,182.0,25.1,1960.0,3.8,2.36,0.17,192.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.894,-52.19,0.04,0.15,0.81,1.159588,80.5,26.8,2377.1,4.05,2.273,0.173,189.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-3.309,-54.94,0.23,0.1,0.66,0.5603502,145.4,25.4,1883.1,3.78,1.64,0.12,78.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.72,-51.458,0.33,0.14,0.54,0.1250137,42.0,26.7,2211.9,3.79,1.679,0.128,178.46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-11.411,-55.325,0.86,0.04,0.1,0.7316266,326.0,25.0,1854.4,4.19,1.071,0.075,61.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-12.813,-51.854,0.78,0.06,0.16,0.7180291,351.6,25.5,1613.1,4.2,0.903,0.062,117.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2.628,-60.153,0.16,0.16,0.68,0.1225861,94.6,27.1,2245.7,4.24,2.168,0.162,111.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.579,-60.831,0.74,0.06,0.2,0.2599273,299.4,23.9,1451.2,4.63,1.085,0.083,103.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.45,-48.45,0.79,0.09,0.11,0.2654193,24.0,26.8,2490.0,3.98,3.617,0.245,101.39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.831,-52.16,0.47,0.08,0.45,0.3116651,281.2,25.3,1509.7,4.2,1.592,0.105,316.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.577,-60.832,0.73,0.06,0.21,0.2599273,299.7,23.9,1451.2,4.39,1.425,0.103,103.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2.851,-54.955,0.03,0.08,0.89,0.2543168,197.0,25.1,2015.9,3.84,2.539,0.168,192.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-12.921,-52.373,0.46,0.05,0.49,0.592972,372.7,25.1,1665.8,4.1,2.548,0.157,141.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-2.607,-60.209,0.2,0.12,0.68,0.2896748,106.0,27.1,2289.2,3.94,2.587,0.15,101.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.083,-52.667,0.52,0.1,0.38,1.470712,140.5,24.9,3329.2,4.4,1.565,0.128,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-14.386,-61.148,0.58,0.06,0.36,0.2952242,198.1,24.2,1456.7,4.7,1.209,0.104,111.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.062,-77.622,0.35,0.34,0.32,1.721773,394.0,23.8,3710.7,5.09,2.88,0.318,667.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-11.886,-71.397,0.01,0.54,0.45,0.0992872,356.3,25.2,2477.1,6.72,2.309,0.241,777.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-11.879,-71.408,0.48,0.0,0.52,0.2559659,356.4,25.2,2457.0,6.41,2.476,0.255,875.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-3.949,-73.434,0.53,0.27,0.21,0.2505066,125.7,26.3,2751.5,4.26,0.678,0.061,108.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-4.002,-69.904,0.32,0.34,0.34,0.2434488,119.7,25.8,2799.8,4.34,2.185,0.159,105.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-4.924,-73.528,0.62,0.22,0.16,0.05482222,140.4,26.7,2645.1,4.31,1.802,0.165,131.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-12.837,-69.278,0.17,0.44,0.39,0.2257706,217.2,25.4,2457.6,4.05,1.012,0.139,350.22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.639,-76.154,0.03,0.4,0.57,0.3710081,234.8,25.3,3008.9,4.39,1.816,0.242,573.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.114,-61.692,0.71,0.19,0.1,0.2606201,291.5,25.3,1364.4,5.43,1.288,0.113,179.54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-11.905,-71.402,0.29,0.63,0.08,0.9944668,358.4,25.2,2457.0,6.12,0.907,0.102,159.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-14.527,-60.734,0.66,0.13,0.21,3.965662,637.0,21.4,1512.8,5.83,4.868,0.452,394.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-3.722,-70.305,0.21,0.37,0.42,0.2773789,105.9,25.8,2804.1,4.5,1.233,0.151,310.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-3.951,-73.439,0.33,0.33,0.34,0.2505066,126.8,26.3,2751.5,4.46,1.735,0.161,110.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-3.719,-70.305,0.19,0.38,0.43,0.2773789,106.6,25.8,2804.1,4.29,1.373,0.161,281.34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-14.832,-52.169,0.66,0.1,0.24,0.1961372,281.4,25.3,1509.7,4.65,1.061,0.078,158.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-3.056,-69.991,0.38,0.31,0.31,0.4511347,97.9,25.8,2810.2,4.13,1.308,0.137,186.82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-3.252,-72.907,0.38,0.14,0.47,0.6644737,113.5,26.3,2814.8,4.55,1.589,0.17,296.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-3.057,-69.993,0.24,0.4,0.36,0.438158,97.9,25.8,2810.2,3.97,1.64,0.168,229.38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.567,-68.311,0.19,0.62,0.18,0.3054313,202.9,25.9,1907.0,4.23,0.943,0.101,178.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.8,-68.773,0.61,0.22,0.16,0.5382481,259.5,25.1,1705.1,4.57,0.503,0.056,136.43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.55,-68.307,0.16,0.59,0.25,0.1677233,205.4,25.9,1907.0,5.07,1.441,0.146,341.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-10.818,-68.776,0.62,0.22,0.17,0.5790235,259.3,25.0,1689.5,4.45,0.751,0.071,155.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.609,-60.214,0.96,0.02,0.02,0.1712696,92.0,27.1,2289.2,4.1,0.793,0.05,40.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.609,-60.216,0.89,0.02,0.09,0.1712696,100.0,27.1,2289.2,4.73,1.335,0.076,25.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-3.941,-73.439,0.6,0.32,0.08,0.325624,124.4,26.3,2777.8,4.07,4.181,0.21,61.26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.007,-69.906,0.75,0.25,0.01,0.2434488,119.7,25.8,2799.8,4.27,2.43,0.11,25.66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.899,-73.629,0.69,0.25,0.06,0.485529,127.2,26.7,2646.5,4.25,11.982,0.687,137.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-9.578,-55.918,0.77,0.11,0.12,0.7404447,280.3,25.6,2353.1,5.34,0.831,0.08,126.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-14.404,-61.141,0.29,0.35,0.36,0.08839814,194.9,24.2,1456.7,4.9,6.144,0.522,513.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-14.404,-61.139,0.29,0.35,0.36,0.08839814,194.9,24.2,1456.7,4.74,6.047,0.535,411.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-13.19,-71.587,0.44,0.4,0.16,12.73807,3025.0,14.9,433.1,4.0,19.33,0.878,1413.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-13.176,-71.595,0.01,0.59,0.4,6.940482,2850.0,14.9,433.1,4.17,28.585,1.48,980.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
